iter	Passed	Remaining
0	46	4634
1	87	4267
2	127	4127
3	167	4015
4	212	4029
5	253	3970
6	293	3905
7	339	3900
8	379	3840
9	422	3799
10	465	3767
11	507	3720
12	547	3665
13	588	3616
14	633	3592
15	677	3559
16	731	3572
17	787	3588
18	828	3532
19	871	3487
20	915	3445
21	957	3395
22	999	3345
23	1040	3294
24	1081	3244
25	1126	3206
26	1170	3165
27	1212	3118
28	1254	3071
29	1296	3025
30	1340	2984
31	1381	2935
32	1423	2890
33	1465	2845
34	1507	2798
35	1557	2769
36	1617	2753
37	1663	2714
38	1730	2707
39	1789	2683
40	1835	2641
41	1875	2590
42	1917	2541
43	1958	2492
44	2003	2449
45	2051	2408
46	2093	2360
47	2134	2312
48	2191	2280
49	2233	2233
50	2274	2185
51	2333	2153
52	2376	2107
53	2418	2060
54	2461	2014
55	2501	1965
56	2552	1925
57	2595	1879
58	2646	1839
59	2688	1792
60	2734	1748
61	2777	1702
62	2890	1697
63	2974	1672
64	3041	1637
65	3137	1616
66	3221	1586
67	3286	1546
68	3380	1518
69	3456	1481
70	3531	1442
71	3599	1399
72	3682	1362
73	3760	1321
74	3852	1284
75	3928	1240
76	3995	1193
77	4070	1148
78	4161	1106
79	4259	1064
80	4333	1016
81	4405	967
82	4480	917
83	4558	868
84	4600	811
85	4643	755
86	4685	700
87	4732	645
88	4774	590
89	4818	535
90	4874	482
91	4917	427
92	4958	373
93	5006	319
94	5048	265
95	5091	212
96	5132	158
97	5175	105
98	5216	52
99	5256	0
