iter	Accuracy	Logloss	F1
0	0.7255200406	0.6884766167	0.7270433905
1	0.7648401826	0.6840612366	0.7690007476
2	0.7805682395	0.6805095436	0.779842199
3	0.7985794013	0.6755312078	0.7965146079
4	0.8074581431	0.6711318614	0.8042300748
5	0.7902080162	0.6673802906	0.7866907403
6	0.7914764079	0.6634653645	0.7856025039
7	0.800608828	0.6588209217	0.7965838509
8	0.8099949264	0.6559092687	0.8063098009
9	0.8168442415	0.6519669013	0.8124675325
10	0.8077118214	0.6490118922	0.801881861
11	0.8115169964	0.6449496643	0.8062581486
12	0.8110096398	0.6406247567	0.8055338032
13	0.8181126332	0.6366280504	0.8129402557
14	0.8231861999	0.6328273731	0.8195702822
15	0.8193810249	0.6302578706	0.8154484189
16	0.8229325216	0.6267615491	0.8198244708
17	0.8198883815	0.6236791135	0.8167268973
18	0.8252156266	0.6203390955	0.8222852721
19	0.8264840183	0.6171280917	0.8238928939
20	0.82927448	0.6135236916	0.8265910848
21	0.833079655	0.6103896257	0.8297101449
22	0.8328259767	0.6078035231	0.8290531777
23	0.8318112633	0.6050739563	0.8280155642
24	0.8333333333	0.6024790682	0.8294835193
25	0.837645865	0.5996383469	0.8341109383
26	0.8378995434	0.5962049898	0.8342412451
27	0.8406900051	0.5935348238	0.8374741201
28	0.8399289701	0.5905984651	0.8364861363
29	0.8422120751	0.5883709651	0.8394424368
30	0.8399289701	0.5855269823	0.8367399741
31	0.8348554033	0.5833874004	0.8313034465
32	0.8414510401	0.5809372044	0.8384595503
33	0.8472856418	0.5780050028	0.844765343
34	0.8488077118	0.5754570269	0.8461538462
35	0.8488077118	0.5730471404	0.8461538462
36	0.8505834602	0.5698872534	0.8484692565
37	0.8490613902	0.5677460322	0.8467679629
38	0.8488077118	0.5654391458	0.8465499485
39	0.8493150685	0.5625488457	0.8469860896
40	0.8472856418	0.559935804	0.8449252962
41	0.8480466768	0.5573244716	0.8455787574
42	0.8442415018	0.5547175234	0.8411795137
43	0.8475393201	0.5525288427	0.8448231345
44	0.8536276002	0.5500656149	0.8515564703
45	0.8566717402	0.5474025131	0.8541935484
46	0.8569254186	0.5454143001	0.8547140649
47	0.8559107052	0.5432729541	0.8535327488
48	0.8619989853	0.5410779531	0.8602261048
49	0.8607305936	0.5392600647	0.8588326048
50	0.8589548453	0.5372795129	0.8571428571
51	0.8642820903	0.5348426281	0.863136352
52	0.8660578387	0.5328522164	0.864684777
53	0.865550482	0.5306599208	0.8642418033
54	0.866311517	0.5284577406	0.8649064342
55	0.8650431253	0.5266028896	0.863449692
56	0.8652968037	0.5246537337	0.8636713736
57	0.866311517	0.5227521997	0.8649064342
58	0.8665651953	0.5203732232	0.8651282051
59	0.868594622	0.5188275756	0.8669064748
60	0.870877727	0.5171595775	0.8693196406
61	0.8698630137	0.5152000872	0.868427802
62	0.869355657	0.5135405298	0.8679825686
63	0.870116692	0.5119402071	0.868244982
64	0.8718924404	0.5103224311	0.870079753
65	0.871638762	0.5086913258	0.8696548171
66	0.8764586504	0.5070875322	0.8749036733
67	0.8772196854	0.5053245224	0.8755784062
68	0.8729071537	0.5038384274	0.8707763735
69	0.8736681887	0.5017319933	0.8717156105
70	0.8769660071	0.5002591245	0.8751608752
71	0.8792491121	0.4988045297	0.8778860954
72	0.8792491121	0.4971485378	0.8776349614
73	0.8812785388	0.4958972545	0.87993843
74	0.8815322171	0.494202718	0.8801642289
75	0.8822932522	0.4929667633	0.8808423215
76	0.8845763572	0.4915020981	0.8831835687
77	0.8830542872	0.4901006068	0.8815214598
78	0.8853373922	0.4882366647	0.8841025641
79	0.8853373922	0.4869240249	0.8838643371
80	0.8858447489	0.4849409843	0.8843187661
81	0.8860984272	0.4830218671	0.8845461558
82	0.8909183156	0.4816271653	0.8899692938
83	0.8901572806	0.4798559307	0.8890596977
84	0.8914256722	0.4784086795	0.8902001026
85	0.8916793506	0.4772875499	0.8904285348
86	0.8942161339	0.4753768056	0.8932138284
87	0.8952308473	0.4738569106	0.8944543828
88	0.8954845256	0.4721347208	0.8946830266
89	0.896499239	0.4708415133	0.8955987718
90	0.8967529173	0.4695747986	0.895828001
91	0.8977676306	0.4676383536	0.8967460927
92	0.9005580923	0.4658193234	0.8995386981
93	0.898782344	0.4642052703	0.8976660682
94	0.899543379	0.4630964597	0.8983572895
95	0.8997970573	0.4613196632	0.8985879332
96	0.9000507357	0.4600380914	0.8988186954
97	0.899543379	0.4589092601	0.8983572895
98	0.9000507357	0.4577639338	0.8988186954
99	0.9000507357	0.4565794949	0.8988186954
100	0.899543379	0.4550257857	0.8983572895
101	0.9008117707	0.4534385304	0.8995116937
102	0.9020801624	0.4520991498	0.9009240246
103	0.901826484	0.4509912942	0.9006928406
104	0.9028411974	0.4498800132	0.9016182892
105	0.9028411974	0.448855411	0.9016182892
106	0.9036022324	0.4475518844	0.9023136247
107	0.9043632674	0.4462739467	0.9030100334
108	0.9051243024	0.4449646521	0.903707518
109	0.9053779807	0.4435143806	0.9039402524
110	0.9056316591	0.4423730936	0.9041731066
111	0.9056316591	0.4411371857	0.9041731066
112	0.9066463724	0.4401148981	0.9051057246
113	0.9066463724	0.439111787	0.9051057246
114	0.9089294774	0.4382448205	0.9074026309
115	0.9094368341	0.4371394871	0.9078709677
116	0.9099441908	0.4359429071	0.9083397883
117	0.9104515474	0.4346704806	0.9088090933
118	0.9096905124	0.4336874488	0.9081053175
119	0.9104515474	0.4325454437	0.9088090933
120	0.9104515474	0.4314150566	0.9088090933
121	0.9104515474	0.4303792082	0.9088090933
122	0.9101978691	0.4295476368	0.9085743802
123	0.9107052258	0.4284245994	0.9090439276
124	0.9109589041	0.4271581456	0.9092788834
125	0.9114662608	0.4254053469	0.9097491596
126	0.9112125824	0.4238577637	0.9095139607
127	0.9117199391	0.4229317406	0.9099844801
128	0.9114662608	0.4218989933	0.9097491596
129	0.9132420091	0.4209764587	0.911627907
130	0.9127346525	0.4201432954	0.9111570248
131	0.9142567225	0.4188564263	0.9127966976
132	0.9150177575	0.4178201577	0.9135037439
133	0.9147640791	0.4165829673	0.9132679401
134	0.9155251142	0.4156907558	0.9139757169
135	0.9165398275	0.4146898242	0.9149211275
136	0.9185692542	0.4136699663	0.917032825
137	0.9200913242	0.4125339011	0.9186676995
138	0.9216133942	0.4115110811	0.9202580645
139	0.9228817859	0.4104901906	0.9216494845
140	0.9231354642	0.4091593374	0.9218870843
141	0.9226281076	0.4081533975	0.9214120072
142	0.9221207509	0.4072040881	0.9207332817
143	0.9216133942	0.4060099205	0.9202580645
144	0.9231354642	0.4048161871	0.9218870843
145	0.9241501776	0.4038419414	0.9228387097
146	0.9244038559	0.4026266156	0.9230769231
147	0.9238964992	0.4014746856	0.9226006192
148	0.9251648909	0.4005448135	0.9239886627
149	0.9251648909	0.399498941	0.9239886627
150	0.9249112126	0.3985352049	0.923750644
151	0.9259259259	0.3973500044	0.9248971193
152	0.9264332826	0.3962043251	0.9253731343
153	0.9264332826	0.394818435	0.9253731343
154	0.9266869609	0.3938784899	0.9256113256
155	0.9274479959	0.3928140655	0.9263266358
156	0.9274479959	0.3918147113	0.9263266358
157	0.9271943176	0.3906020861	0.9260880762
158	0.9277016743	0.3898499159	0.9265653182
159	0.9284627093	0.3887872626	0.9272821042
160	0.929731101	0.3878836853	0.9286266426
161	0.9302384576	0.3869076915	0.9291054395
162	0.9302384576	0.386157145	0.9291054395
163	0.9309994926	0.3851137855	0.9298245614
164	0.9325215627	0.3841755478	0.931443299
165	0.935058346	0.3833080073	0.934054611
166	0.9348046677	0.3824126017	0.9338140613
167	0.935819381	0.3815740816	0.9349447159
168	0.9348046677	0.3806580301	0.9338140613
169	0.933536276	0.3797902823	0.9324394018
170	0.9348046677	0.378620371	0.9338140613
171	0.9348046677	0.3778984103	0.9338140613
172	0.935058346	0.376991794	0.934054611
173	0.9353120244	0.376068656	0.9342952847
174	0.9368340944	0.3751705629	0.9359073359
175	0.938102486	0.3742787739	0.9372750643
176	0.938102486	0.3734072786	0.9372750643
177	0.937341451	0.3727139204	0.9363893896
178	0.937341451	0.3719425889	0.9363893896
179	0.9375951294	0.3709301278	0.9366306028
180	0.9388635211	0.3699717773	0.937966538
181	0.9391171994	0.3691993556	0.938208033
182	0.9403855911	0.3684313028	0.9395731551
183	0.9431760528	0.367316729	0.9425346331
184	0.9439370878	0.3663019892	0.9432605905
185	0.9452054795	0.3653526449	0.9445869677
186	0.9452054795	0.3645920681	0.9445869677
187	0.9457128361	0.3638470721	0.9450718686
188	0.9454591578	0.3631268826	0.9448293559
189	0.9452054795	0.3624069884	0.9445869677
190	0.9457128361	0.3617897836	0.9450718686
191	0.9459665145	0.3609103515	0.9453145058
192	0.9462201928	0.3600063008	0.9455572676
193	0.9462201928	0.3592110446	0.9455572676
194	0.9452054795	0.3584035274	0.9444730077
195	0.9462201928	0.3578478149	0.9454451879
196	0.9469812278	0.3569264695	0.9462863017
197	0.9469812278	0.356251342	0.9462863017
198	0.9469812278	0.3555445278	0.9462863017
199	0.9474885845	0.3548052274	0.9467729493
200	0.9479959411	0.3539020362	0.9472600978
201	0.9479959411	0.3532367	0.9472600978
202	0.9479959411	0.3522898614	0.9472600978
203	0.9482496195	0.3512850046	0.94750386
204	0.9490106545	0.3506348931	0.9483423285
205	0.9490106545	0.3497747892	0.9483423285
206	0.9495180112	0.3485790972	0.9488300334
207	0.9485032978	0.3477907172	0.9477477477
208	0.9485032978	0.3471099255	0.9477477477
209	0.9490106545	0.3463772009	0.9482359001
210	0.9492643328	0.3457198093	0.9484801649
211	0.9515474378	0.3451912667	0.9509123619
212	0.9512937595	0.344290715	0.950668037
213	0.9512937595	0.3433819646	0.950668037
214	0.9512937595	0.3422387662	0.950668037
215	0.9512937595	0.3415660209	0.950668037
216	0.9512937595	0.3409009188	0.950668037
217	0.9512937595	0.3404111536	0.950668037
218	0.9528158295	0.3397931291	0.9522342065
219	0.9530695079	0.3391917164	0.9524788081
220	0.9533231862	0.3383634142	0.9527235355
221	0.9545915779	0.3374334905	0.9540672312
222	0.9548452562	0.336635792	0.954312115
223	0.9558599696	0.3360388598	0.9553846154
224	0.9558599696	0.3354471199	0.9553846154
225	0.9561136479	0.3349368034	0.9556296486
226	0.9563673262	0.3340529721	0.9558748076
227	0.9566210046	0.3332783477	0.9561200924
228	0.9563673262	0.3325243346	0.9558748076
229	0.9568746829	0.3318414922	0.9563655031
230	0.9566210046	0.3309944843	0.9561200924
231	0.9581430746	0.3301660555	0.957703153
232	0.9594114663	0.3295234367	0.9589322382
233	0.9581430746	0.328875567	0.9575944487
234	0.9581430746	0.3281749963	0.9575944487
235	0.9583967529	0.3272793888	0.957840617
236	0.9596651446	0.326769383	0.9591784339
237	0.9583967529	0.3263126894	0.957840617
238	0.9589041096	0.3257309394	0.9583333333
239	0.9586504313	0.324967465	0.9580869118
240	0.9589041096	0.3244560832	0.9583333333
241	0.9596651446	0.3235894075	0.9590733591
242	0.9614408929	0.3229088107	0.9609053498
243	0.9606798579	0.322235872	0.9601644821
244	0.9609335363	0.3217367544	0.9604113111
245	0.9611872146	0.3211711506	0.9606582669
246	0.9611872146	0.3205331643	0.9606582669
247	0.9611872146	0.3200362301	0.9606582669
248	0.9606798579	0.3194172387	0.9601644821
249	0.9609335363	0.3187087076	0.9604113111
250	0.9619482496	0.3178823007	0.9613998971
251	0.9642313546	0.3172274066	0.9637997433
252	0.9642313546	0.3165869657	0.9637811456
253	0.962962963	0.3157137795	0.9624871531
254	0.9632166413	0.3151013001	0.9627345155
255	0.9634703196	0.314275277	0.9629820051
256	0.963723998	0.3136369845	0.963229622
257	0.9649923896	0.3129872861	0.9645608629
258	0.9662607813	0.312429193	0.965871183
259	0.967529173	0.3119307315	0.9671794872
260	0.9685438864	0.3112854569	0.9682377049
261	0.968290208	0.3106763516	0.9679897567
262	0.9685438864	0.3100085869	0.9682377049
263	0.9685438864	0.3093786513	0.9682377049
264	0.9685438864	0.3087516557	0.9682377049
265	0.9695585997	0.3079186709	0.9692937564
266	0.969812278	0.3072315807	0.969541848
267	0.9703196347	0.3066381612	0.9700384123
268	0.9703196347	0.3060694296	0.9700384123
269	0.970573313	0.3056078716	0.9702868852
270	0.9718417047	0.3048709173	0.9715894548
271	0.9718417047	0.3041964468	0.9715894548
272	0.9718417047	0.3036512851	0.9715894548
273	0.9720953831	0.3029681707	0.9718381976
274	0.9723490614	0.3022367954	0.9720870679
275	0.9723490614	0.3017276514	0.9720870679
276	0.9726027397	0.3013180812	0.9723360656
277	0.9726027397	0.3006425946	0.9723360656
278	0.9723490614	0.2999187013	0.9720870679
279	0.9728564181	0.299306487	0.9725851909
280	0.9726027397	0.2989309195	0.9723360656
281	0.9728564181	0.2985291065	0.9725851909
282	0.9728564181	0.2978935302	0.9725851909
283	0.9728564181	0.2973889107	0.9725851909
284	0.9743784881	0.2966766607	0.9741489634
285	0.9743784881	0.2960826278	0.9741489634
286	0.9746321664	0.2956254968	0.9743983615
287	0.9743784881	0.2949674121	0.9741489634
288	0.9759005581	0.2944482909	0.9757095372
289	0.9764079148	0.2936784081	0.976208749
290	0.9764079148	0.2929905733	0.976208749
291	0.9764079148	0.292456911	0.976208749
292	0.9766615931	0.2920608071	0.9764585466
293	0.9766615931	0.2915043032	0.9764585466
294	0.9764079148	0.2909131659	0.976208749
295	0.9764079148	0.290180844	0.976208749
296	0.9771689498	0.2895752898	0.9769585253
297	0.9771689498	0.2892079593	0.9769585253
298	0.9769152714	0.2885636684	0.976708472
299	0.9769152714	0.2879784969	0.976708472
