iter	Passed	Remaining
0	929	277775
1	1709	254642
2	2523	249834
3	3294	243790
4	4003	236218
5	4751	232816
6	5540	231901
7	6265	228689
8	7039	227611
9	7784	225737
10	8615	226350
11	9436	226465
12	10181	224777
13	10946	223628
14	11735	222982
15	12599	223646
16	13383	222801
17	14097	220856
18	14880	220076
19	15631	218840
20	16341	217106
21	17182	217118
22	18100	217996
23	18947	217898
24	19735	217088
25	20484	215880
26	21326	215637
27	22118	214863
28	22862	213645
29	23818	214364
30	24634	213761
31	25489	213477
32	26258	212452
33	27011	211326
34	27765	210223
35	28557	209424
36	29332	208497
37	30060	207258
38	30820	206257
39	31620	205530
40	32388	204597
41	33159	203694
42	33910	202673
43	34633	201503
44	35390	200543
45	36131	199508
46	36901	198641
47	37645	197641
48	38366	196531
49	39120	195604
50	39880	194708
51	40621	193734
52	41366	192785
53	42136	191956
54	42886	191040
55	43697	190395
56	44435	189436
57	45181	188514
58	45965	187757
59	46708	186832
60	47468	185982
61	48188	184983
62	48949	184144
63	49722	183350
64	50426	182311
65	51210	181563
66	51953	180673
67	52661	179669
68	53449	178939
69	54169	177986
70	54884	177021
71	55643	176205
72	56435	175489
73	57214	174735
74	58008	174024
75	58733	173108
76	59477	172251
77	60189	171309
78	60925	170438
79	61769	169867
80	62514	169019
81	63258	168173
82	64004	167337
83	64834	166716
84	65650	166056
85	66360	165130
86	67104	164290
87	67890	163553
88	68676	162817
89	69486	162136
90	70306	161472
91	71068	160675
92	71878	159987
93	72649	159211
94	73406	158402
95	74224	157726
96	74976	156910
97	75774	156188
98	76532	155384
99	77257	154514
100	78004	153692
101	78760	152887
102	79532	152115
103	80270	151278
104	81023	150471
105	81818	149743
106	82633	149049
107	83484	148416
108	84207	147556
109	85015	146845
110	85786	146068
111	86589	145346
112	87348	144550
113	88120	143775
114	88851	142935
115	89612	142144
116	90318	141266
117	91071	140466
118	91886	139760
119	92659	138989
120	93400	138171
121	94159	137379
122	94953	136640
123	95694	135823
124	96410	134974
125	97153	134164
126	97927	133397
127	98737	132678
128	99537	131944
129	100338	131211
130	101055	130368
131	101816	129584
132	102586	128812
133	103347	128027
134	104069	127195
135	104777	126349
136	105545	125576
137	106266	124747
138	106983	123916
139	107746	123139
140	108504	122356
141	109238	121546
142	109977	120744
143	110727	119954
144	111454	119141
145	112243	118393
146	113008	117620
147	113754	116829
148	114462	115999
149	115170	115170
150	115924	114389
151	116658	113588
152	117410	112806
153	118173	112034
154	118882	111212
155	119594	110394
156	120349	109617
157	121064	108805
158	121835	108042
159	122554	107235
160	123264	106420
161	124108	105722
162	124825	104914
163	125544	104109
164	126287	103326
165	127045	102554
166	127797	101778
167	128509	100971
168	129219	100164
169	129965	99385
170	130684	98586
171	131426	97806
172	132210	97056
173	132949	96273
174	133670	95478
175	134421	94706
176	135138	93909
177	135871	93125
178	136596	92336
179	137314	91543
180	138055	90765
181	138773	89974
182	139502	89190
183	140237	88410
184	140962	87625
185	141692	86843
186	142448	86078
187	143236	85332
188	143976	84557
189	144682	83763
190	145387	82969
191	146128	82197
192	146852	81415
193	147581	80637
194	148334	79872
195	149041	79083
196	149815	78330
197	150527	77544
198	151233	76756
199	152020	76010
200	152742	75231
201	153484	74462
202	154228	73695
203	154935	72910
204	155663	72136
205	156399	71366
206	157179	70617
207	157923	69850
208	158670	69086
209	159389	68309
210	160163	67557
211	160871	66776
212	161640	66022
213	162379	65255
214	163108	64484
215	163895	63737
216	164656	62979
217	165384	62208
218	166141	61449
219	166919	60698
220	167733	59958
221	168581	59231
222	169382	58486
223	170167	57735
224	170886	56962
225	171611	56191
226	172397	55440
227	173122	54670
228	173866	53906
229	174591	53136
230	175313	52366
231	176125	51623
232	176864	50858
233	177581	50087
234	178342	49328
235	179115	48573
236	179895	47820
237	180768	47091
238	181514	46328
239	182307	45576
240	183152	44838
241	183994	44097
242	184918	43375
243	185846	42653
244	186627	41896
245	187408	41138
246	188158	40374
247	188922	39612
248	189683	38850
249	190461	38092
250	191228	37331
251	191972	36566
252	192722	35802
253	193589	35059
254	194365	34299
255	195111	33534
256	195857	32769
257	196669	32015
258	197459	31258
259	198315	30510
260	199098	29750
261	199975	29004
262	200770	28245
263	201618	27493
264	202470	26741
265	203242	25978
266	204014	25215
267	204769	24450
268	205533	23685
269	206373	22930
270	207216	22174
271	208167	21429
272	208948	20665
273	209712	19899
274	210554	19141
275	211507	18391
276	212382	17634
277	213208	16872
278	213971	16105
279	214705	15336
280	215491	14570
281	216359	13810
282	217083	13040
283	217865	12274
284	218662	11508
285	219417	10740
286	220249	9976
287	221047	9210
288	221929	8447
289	222752	7681
290	223595	6915
291	224473	6149
292	225231	5380
293	225986	4611
294	226726	3842
295	227468	3073
296	228295	2306
297	229035	1537
298	229800	768
299	230545	0
